chunk_text,frame_name
"In our everyday lives, human rights are, in themselves, inviolable, which is why, as we consider the case brought by my hon. Friend the Member for Dover, we must ask ourselves this: what is wrong with the current system? It seems to me that there are four possible answers to that question, and he has given four possible answers. One of them, which my hon. Friend the Member for North East Somerset (Jacob Rees-Mogg) has raised, relates to the question of sovereignty. The first possible answer on what is wrong with the current settlement on rights is that there is a problem of parliamentary sovereignty. The notion, which we could explore in greater depth, is that Parliament is sovereign and that the European Court of Human Rights, by overruling the decisions of the British Parliament, is not acting in accordance with the British constitution.",Moral Value
"There are a number of problems with the European arrest warrant, which have been highlighted by many other countries. The stats are quite simple. Nearly 1,000 requests for a European arrest warrant are issued each month. In 2009, the Serious Organised Crime Agency here in the UK received 4,004 requests for a European arrest warrant to be issued. To put that in context, between 2003 and 2009, the UK extradited 63 people to the United States, whereas in 2009-10, the UK extradited 699 individuals to the EU. Perhaps there is a problem with what the warrants are being issued for, which

causes a great deal of concern out there in civil society. The fundamental problem for people such as me is the extension of powers to the European Court of Justice. Given our experience of this matter nationally and internationally, we should be wary about that extension.",Powerlessness
"That this House takes note of European Union Document No. 7648/13, a Commission Communication on preparing for the 2014 European elections and enhancing their democratic and efficient conduct, and No. 7650/13, a Commission Recommendation on enhancing the democratic and efficient conduct of the elections to the European Parliament; notes that whilst European political parties are free to support candidates for Commission President, this does not limit the European Council’s selection of a candidate; agrees with the Government that the suggestion for a common voting day across the EU is unhelpful and would achieve the opposite of the stated intention of increasing voter turnout; and further notes that there is currently no indication that these documents are going to be followed up by formal legislative proposals.",None
"With a public relations man as Prime Minister, this Government are all too quick to issue press releases but too incompetent to deliver them, so we need a debate in Government time on Government incompetence. In their fourth year in office, only one of the 261 new schools they promised in their “priority” building programme has actually been built; only seven of the 576 infrastructure projects they promised have been completed; and they have delivered a paltry 2,000 of the 100,000 new homes they promised under the NewBuy scheme. They said that they would set up a British investment bank to help businesses grow, but no business has yet had help. They said that they would set up the Youth Contract to get young people back to work, but no one has used it. They promised councils £530 million for superfast broadband, but so far they have paid out only £3 million. They said that they want more infrastructure spending, but yesterday revealed a £1 billion cut in capital spending. They said that they would bring down borrowing, but it is £245 billion higher than they planned. Is not the truth that they are posturing, not governing? They are spinning, not delivering. It is not just the Chancellor’s Byron burger stunt that was a sham—it is the whole Government.",Conflict
"My hon. Friend has been tempted on numerous occasions by Opposition Members to debate the merits of in and out, but that is not what today is about. They will not say whether or not they will have a referendum. Today is about whether we will debate that with the public—not in here among ourselves, but take it out to the public. The Opposition want to turn today’s debate into a debate about the merits. I caution my hon. Friend about being seduced by Opposition Members. Make them answer whether they will vote for a referendum.",Conflict
"The consistent position the Liberal Democrats have taken is to be in favour of an in/out referendum either at a time of major, fundamental treaty change or at a time of a transfer of power, which also has to happen under treaty provisions. That is the consistent position we have taken, and that is the position we still take today. [Interruption.] Does the hon. Member for South East Cornwall (Sheryll Murray) want to point out when we have said anything different? She does not; I thought as much.",Conflict
"So his remarks were also very well prepared, for which I give him credit.

Earlier, the Home Secretary responded to me on the issue of whether the opt-ins under the justice and home affairs provisions—if indeed we have opt-ins now—would trigger a referendum. She shared her view that they would not, but she did not give reasons and I do not believe she spoke to the specifics of the point. The European Union Act 2011 was ably taken through the House by the Minister for Europe, whom I am delighted to see in his place—he may be able to correct or assist me, or perhaps share some of the Government’s legal insight, which has eluded me to date on this issue. Section 4(1) deals with triggers for a referendum, and paragraph (i) refers to

“the conferring on an EU institution or body of power to impose a requirement or obligation on the United Kingdom”.

An even clearer trigger is section 4(1)(j), which refers to

“the conferring on an EU institution or body of new or extended power to impose sanctions on the United Kingdom”.

It strikes me that with those opt-ins, the Commission would have the right to enforcement action, and the European Court of Justice potentially to deliver fines.",Powerlessness
"I will not be giving way.

The vast majority of people in Gibraltar, unlike people in the United Kingdom, choose to use their votes. In fact, the most recent European elections saw a 57% turnout—far higher than the turnout in the south-west region of which Gibraltar is a part. It is therefore right that they be given this opportunity. We know that they want the right to make the decision, along with the people of the United Kingdom.

The national anthem of Gibraltar says:

“Gibraltar, Gibraltar,

The Rock on which I stand,

May you be forever free,

Gibraltar, my own land.”

If the people of Gibraltar are to be free, if they are to choose their own destiny, and if it is to be their own land, they too must be given the right to vote in this referendum and in all elections. I commend the amendment to the House.",Moral Value
"For example, a French person living in the UK who is married to a British person and has children at school, growing up, or at university in this country, will not be able to vote in the referendum. Someone from the Republic of Ireland, Malta or Cyprus will be able to vote, however, because Malta and Cyprus are in the Commonwealth, and Commonwealth citizens, along with British citizens, are able to vote in parliamentary elections. Because of our long-standing arrangements with the Irish Republic, even though it is not in the Commonwealth, citizens of the Republic of Ireland are able to vote in parliamentary elections and to stand for Parliament in this country. The measures in the Bill mean that we will exclude people who are settled with families in the UK, and who have a long-standing

relationship with this country, from voting on whether to wrench apart the UK from their European country, yet we will be allowing other people who are not British to vote in our referendum.",Human Impact
"No. By the standards of the Conservative party, we have a moderate, reasonable Europe Minister in his place on the Front Bench, who has over the years given serious consideration to most people’s point of view on issues related to Europe. It surprises me that a man of his calibre is doing not only the work of being a very good Europe Minister, which he is, but the dirty work of the Conservative party, giving the impression that as a reasonable man he is disregarding the important qualifications set out by the Electoral Commission.

Finally, any question of leaving the European Union should point out that such an exit would have to be negotiated. Perhaps the question should be, “Should the UK negotiate its exit from the European Union under article 50 of the Lisbon treaty?” Any such question should make clear reference to the fact that we are already in the European Union, and the question should be whether or not we remain in the European Union.",Conflict
"A serious constitutional question lies in the difference between the Commission work programme and legislation that originates in this House, based on manifestos. The work programme is completely different in character and consequence for the voters we represent, in a way that is profoundly undemocratic. That is point No. 1. As Chairman of the European Scrutiny Committee, I know that our job is to look at all these matters—and point No. 2 is that we do. We do that diligently throughout the year. Let us leave aside the disapplication and veto matters to which I have just referred. When I was in Brussels yesterday, I was told by very senior members of other national assemblies, “We would give our intense support to anything that would enable us in our own countries to have flexibility to prevent the imposition of legislation on banking union and so on.” Their list is endless, but they just cannot do it because of the way their constitutions are tied in. Our report recommends that the departmental Select Committees could be brought in to make assessments—",Powerlessness
"It would be a bit of a surprise if I did not agree with my hon. Friend, whose constituency is next door to mine.

I believe that one could honestly make the argument that the programme has failed unbelievably badly. Over the past seven years, a group of organisations has received money from it. The European Movement, which states that its objective is to

“contribute to the establishment of a united, federal Europe”,

was awarded the best part of £1.5 million.

The French think-tank, Notre Europe, the Jacques Delors Institute—I will not go into as much detail on this as I did on Second Reading, as my hon. Friend the Minister is now completely up to speed with how moneys from this budget line are spent—was set up by the former European Commission President and champions his vision of a European Union that is a federation of nation states. Over the last multi-annual financial framework period, it was awarded the best part of £1.87 million from the Europe for Citizens programme. The Brussels-based Union of European Federalists got the best part of £500,000. There are also other organisations that I did not mention last time. There is a wonderful—I say that in a sarcastic tone—French organisation called Confrontations Europe. Its website says:",Economic
"It will not surprise my hon. Friend to know that I believe we should have a debate in this country about our future relationship with the European Union, but that we should have it once we have had the opportunity that only a Conservative victory at the next general election would afford us: to have both a renegotiation of our relationship with our partners, with that mandate behind us, and the mandate for a referendum in the next Parliament. That gives force to such a debate. In the absence of a referendum, there is no force to this debate.",Powerlessness
"I am sure that if the hon. Member for Brighton, Pavilion (Caroline Lucas), who represents the Green party, was here she would violently disagree with me about fracking, but I am pleased to see measures on it. It seems to be one of the most sensible options for the Britain’s future energy supply, being both cleaner and more environmentally friendly than other fossil fuels, providing massive potential for investment. I have been told by one of the lobbyists that there may be an opportunity to amend the Warm Homes and Energy Conservation Act 2000, of which I was the promoter, which will help to underpin what we are trying to do on warm homes.",Economic
"We are extremely conscious of the timetable this evening, and the fact that the whole business must be dealt with by at least 10.45 pm. We will do our best—at least, some of us will—to ensure that we get through the business as quickly as possible, but we must also have regard to what needs to be said.

The explanatory memorandum that the Minister has just discussed states:

“The Government is not yet persuaded that the proposed decision to require Member States to participate on a mandatory basis is consistent with the principle of subsidiarity and believes that participation in any platform should be on a voluntary basis.”

I know that further consideration is being given to that position, and as far as we are concerned the matter is of sufficient importance to be regarded as a breach of subsidiarity. That is our view, and the view of our legal adviser and the European Scrutiny Committee. The Minister added:

“The Government’s view is that the proposal lacks the empirical evidence base or analysis of structural failure at Member State or Union level which would support a case for intervention.”",None
"We want to know about the reliability of some of the assumptions underlying the Government’s impact assessments, especially in regard to measures such as the prisoner transfer framework decision, when the capacity to operate the measures may be in doubt in some member states, or when the risk of legal challenge on human rights grounds—based, for example, on article 3 of the European Convention of Human Rights if prison conditions are regarded as inhuman or degrading, or on article 8 if there is interference with the right to respect for family life—could be regarded as significant.

We note that the possibility of adverse rulings by the Court of Justice does not feature among the “key assumptions/sensitivities/risks” in the impact assessments, although concerns about the extension of the Court’s jurisdiction to EU police and criminal justice measures are at the heart of the block opt-out.

We note that the Government claim to have taken into account the views expressed in our report, as well as those of other Committees. We want to know whether they accept the assessment of our Committee that the selection of measures to rejoin

“does not signify any lessening of UK involvement in the key measures governing law enforcement cooperation in the EU” ,",Powerlessness
"arrest on behalf of the USA under legal conditions largely identical to the 1957 treaty, he was finally extradited to the USA to face terrorism charges there. Do we really want to see repeated Abu Hamza-type situations in our extradition processes? These are not isolated examples of where the European arrest warrant has been of benefit. Numerous other examples could be cited.

The European arrest warrant is cost-efficient. If we relied on a 1957-type mechanism we would commit ourselves to footing the legal bill for extradition processes that went on for years and cost the public purse hundreds of thousands of pounds. The public and the judiciary are frustrated that the extradition of terrorists is often delayed for years. The return to the 1957 process could make this long, drawn-out process the norm. That might not have been such a problem 20 or 30 years ago when criminals rarely crossed borders, but nowadays that is routine.

ACPO concluded in its evidence to the House of Lords and Parliament:

“The view therefore of ACPO is simple. The EAW works very effectively and increases the safety of the UK public. It is for this reason that ACPO strongly supports the EAW.”",Economic
"It is always important to remember how we reached the position we are in. My hon. Friend the Member for Stone (Sir William Cash) and my right hon. Friend the Member for Wokingham (Mr Redwood) reminded us that, prior to the Lisbon treaty, these matters were all outside the jurisdiction of the European Court of Justice. They used to be intergovernmental matters. Of course, it was the previous Labour Government who took the decision to put us in the position we are in now. They sold us down this river in a way that should never have happened and left us in the legal position we are in today. It is really important that we as Conservatives always remember the previous Labour Government’s contribution. They accepted a treaty that was supposed to be subject to a referendum, but it never took place, and we in this House were asked to accept a package that I do not believe the British people wanted, although they were not given the opportunity to decide whether to accept it or not.",Conflict
"Secondly, as has already been evidenced in the debate, this issue crosses party political boundaries. There are supporters of all parties who want us to stay in the European Union, and there are supporters of all parties who want us to leave. In those circumstances, because it cannot be decided at a general election, and because it is a constitutional matter, it is right that it should be determined by the British people.

As chair of the Better Off Out group of MPs and peers, my view is clearly that we would, as a nation, be better off out of the European Union. On far too many issues this Parliament has no choice but to simply carry out the instructions sent to us from the European Union, whether we like it or not. This House of Commons should not simply be the lapdog of Brussels. Why should we have to pay billions of pounds each year just for the privilege of trading with our own European neighbours, even though, as has been pointed out, they would trade with us anyway? It just does not make sense.",Powerlessness
"I am moving towards my conclusion and am conscious that others want to speak.

Let me be absolutely clear: the idea that the Prime Minister can unilaterally secure significant renegotiation is unrealistic, to say the least. The only way we are going to have significant renegotiation is through an intergovernmental conference, which will require Chancellor Merkel, the French President and others to agree to the process. What will happen if we get to the end of 2017 and the Prime Minister of the day has failed to secure those renegotiations? Will we have a referendum or not?",Powerlessness
"Secondly, I want to raise a much more local matter. The rest of the country will have to wait for an in/out referendum, but north Northamptonshire is already having an in/out referendum. It is being led in Kettering by my hon. Friend the Member for Kettering (Mr Hollobone), in my constituency by myself and in the Corby constituency by Thomas Pursglove, the excellent Conservative candidate, who, I am pleased to tell the Prime Minister, is as Eurosceptic as myself and my hon. Friend the Member for Kettering. We are delivering a quarter of a million ballot papers with the simple question of whether the people of north Northamptonshire want to remain in or come out of the EU. We will finish the referendum by the end of the year and deliver the result to Downing street. I do not think that I am wrong in saying that, at this stage, 85% of the ballots that have been returned are for coming out of the EU.",Conflict
"We have nothing to fear in this Bill, nothing to fear in trusting the public, and much to gain. As has been said in the past by many Members and today, notably, by the hon. Member for Vauxhall (Kate Hoey), this is not merely a matter of the House trusting the public with a decision on the central question of our national future. It is a matter of our providing the public with a reason to trust the House, and our political process a little more, and using this moment to engage and inspire the public in respect of what we want this country to be and where we want it to go in the future.",Moral Value
"On Saturday, I shall be leading the Wellingborough taskforce campaigning in East Northamptonshire on our EU referendum. During that campaigning, the No. 1 issue on the doorstep will be EU migration. The new President of the European Commission has said that the free movement rules cannot be changed. Our Prime Minister has rightly said that we will control immigration from the European Union in the future. Will there be an opportunity on Monday, when the Prime Minister makes his statement, for him to update us on that position?",Powerlessness
"We need to pause over this. I remember the excellent words of my right hon. Friend the Prime Minister in his Bloomberg speech. The Bloomberg speech wisely said that the fount of political authority in any European member state, but certainly in the United Kingdom, rests from the national electorate through the national Parliament, and that, I think, is still right. We see that in the recent conflicts and rows in a country such as Greece, which is under even more European control that we are by being part of the euro. The Prime Minister reasoned that this country needs to negotiate a new relationship with the EU that recognises that on really important things—I would have thought that welfare, borders and energy were really important things—if necessary, the national Parliament can assert and interpret the will of the British people. There should be some mechanism by which we can then do as we wish, reflecting the will of the people.",Moral Value
"My hon. Friend is right. Voting for another party is really opening the back door to a Labour Government, who would not renegotiate or have a referendum. It would just lead to a sigh of relief in the corridors of Brussels that none of those changes was necessary. If people are serious about wanting reform and a referendum, there is only one box they can put their cross in.",Conflict
"I welcome you to the Chair, Mr Deputy Speaker, and I want to say to the electors of Leicester East, “Thank you for sending me back for my seventh term”. It is good to see the House with so many new faces in it, and I particularly welcome the most diverse House of Commons that we have ever had, with more women and more members of the ethnic minority community than ever before. When my hon. Friend the Member for Hackney North and Stoke Newington (Ms Abbott) and I were elected, there were only four MPs from the black and Asian minority communities; we now have 41, including the first woman of Asian origin ever elected in Scotland, the hon. Member for Ochil and South Perthshire (Ms Ahmed-Sheikh). I was about to say that she is sitting in her usual place, but that is, of course, usually the place of UKIP MPs—and we are delighted that she has taken it over. There are problems with seating, but we are very pleased to see her there.",Human Impact
"On the question of the European referendum and how it can be won, the very worst thing that could happen to the yes campaign to stay in Europe would be for a parade of the Chancellor’s establishment flunkies to tell the people of the country that they cannot possibly withdraw from and survive outside of the European Union. I am a European Union supporter to my fingertips, but I would never countenance, or see an argument for, a parade of the establishment saying it would be impossible for the UK not to be in the European Union. That sort of top-down establishment campaign would be a great source of grievance and would be likely to bring about a counter-reaction from any self-respecting person.",Conflict
"being consistently disempowered and oppressed. From the UN to the World Trade Organisation, reform is demanded by those who are not in the room but consistently locked outside in an increasingly cold climate. From the Mediterranean to the Yellow sea, freedoms that we take for granted are under threat: freedom of religion and belief, freedom to love, and freedom of speech. Those freedoms require not our tacit acceptance but shoring up. This Queen’s Speech is neither pro-internationalist nor pro-reform, and we should reject it.",Powerlessness
"“I am sure that the House has listened to the right hon. Gentleman’s historical exegesis with great interest.”

Very pertinently, as the first person to raise the issue of time, you went on:

“If he is against the purchase of votes, how does he justify promoting a Bill that will allow the issue by Ministers of official press releases in support, for example, of the abolition of our national currency, while regulating the activities of campaigning organisations in any such referendum for up to six months, thereby preventing the supporters of national self-government from effectively arguing their case?”—[.]

That was a most pertinent intervention because the issue of time reappeared in Committee.",Powerlessness
"The silence was action. The Government that I led defended in court—I am surprised the right hon. and learned Gentleman did not follow the proceedings of the Scottish courts on the matter—an attempt to enfranchise prisoners in the Scottish referendum, and we were right to refuse that. I merely pointed out that ex-prisoners in the House of Lords will be enfranchised by the Government’s proposals while fine, upstanding European citizens who have never done a thing wrong in their lives, such as Christian Allard MSP, are to be denied a vote. I am truly surprised that someone with such a liberal reputation—the right hon. and learned Gentleman may be the last liberal in the House—should make such a point. Perhaps he is campaigning for some Select Committee and trying to garner support from the Tory Benches.",Moral Value
"There is a danger that we will end up with a referendum campaign in which the yes side includes people who want to be both half in and half out, and a no side that is also confused because it includes some people who want to be totally out, as well as people who say that if we reject it, we can be half out and renegotiate in the way that Ireland did. The danger is that we will end up with a referendum that does not settle the question at all in the terms in which Members believe it will.",Conflict
"I have noticed the battle taking place between the two parties across the Floor of the House over who is the real Opposition. I suspect that battle will continue for some considerable time. All I would say to the House is that while it is going on, we will carry on governing the country and doing the right thing for our constituents.

The hon. Gentleman made a comment about the speech made at the Mansion House last night by the Chancellor of the Exchequer and talked about austerity. I do not think he quite understands what a basic and simple concept this is: it is a good idea that people live within their means. That is what we stand for. It is his party that stands for irresponsibility, and that irresponsibility is what got this country into a mess in the first place. It is absolutely right that we should be responsible in the future. I am just disappointed that Scottish nationalists simply do not understand that.

On the European Union Referendum Bill, of course I have seen the amendments SNP Members have tabled. They will be debated next week and we will see whether the House supports them.",Conflict
"Excellent. If we are going back in history, I guess I should share with the hon. Lady the fact that from 1999 to 2009 I was not in this House, but in the European Parliament. I sat on the budget and budgetary control committees, watching Labour Members of Parliament and Labour Ministers at the time not particularly bothering at all about EU spending, so I am delighted with the change of heart, because there is a need for focus on this area.",None
"It is quite clear that the right hon. Member for Gordon (Alex Salmond) is only distressed because he has not been invited. If he speaks to me very nicely, I might arrange for a wee ticket to be sent to him.

This is a very important subject. I want to put on the record my appreciation for the Prime Minister’s having kept his word to the British people that there would be a referendum on Britain’s future in the European Union. That he has brought forward the Bill so early in the Parliament is highly commendable and indicative of his determination. It is indicative of the current spirit of the Conservative party that this moment is completely unlike 1992, in that we are airing our differences of view and our different concerns in this Committee debate in an amicable spirit, as we try to find the best way through.",Moral Value
"With this it will be convenient to take the following:

Amendment 51, in page 1, line 17, leave out “parliamentary” and insert “local government”.

The amendment would allow citizens of all countries of the European Union living in the UK and Gibraltar to vote in the referendum.

Amendment 1, in page 1, line 17, at end insert

“and persons who would be so entitled except for the fact that they will be aged 16 or 17 on the date on which the referendum is to be held”.

The amendment would entitle British citizens, qualifying Commonwealth citizens and citizens of the Republic of Ireland aged 16 and 17 to vote in the referendum.

Amendment 12, in page 2, line 9, after “Commonwealth citizens”, insert

“or citizens of the Republic of Ireland”

Amendment 2, in page 2, line 12, at end insert

“and persons who would be so entitled except for the fact that they will be aged 16 or 17 on the date on which the referendum is to be held”.

The amendment would entitle Commonwealth citizens aged 16 and 17 who would be entitled to vote in Gibraltar for elections to the European Parliament to vote in the referendum.

Amendment 19, in page 2, line 16, at end add—",None
"I am not terribly surprised to find out that Labour Members are split. I thank the hon. Gentleman for his intervention. He makes a good point but we disagree. That was not our experience in the Scottish independence referendum, which I shall go on to discuss.

We need to get more young people engaged in politics. All of us across the Committee can agree on that. Even if we disagree on this issue, we can all unite on that; I am sure the hon. Member for Huddersfield (Mr Sheerman) will agree on that. I know his views are held honestly. In the independence referendum, an astonishing 75% of 16 and 17-year-olds took the opportunity to vote. The same survey showed that 97% of them said that they would do so again. Turnout in the UK election was 66.1%. It was higher in Scotland than in the rest of the UK—because of the Scottish independence referendum, we like to think, and a more politicised electorate. There are lessons for us all to be taken from that.",Moral Value
"My hon. Friend has made his point about shrinking childhood before. I say to him that maturity is not an exact science. There will be some people who are mature at 16 or perhaps less, and some who manage to hang on to their immaturity for a great many years after that. I do not believe that any of us can pinpoint an exact age.

One thing that the EU referendum has in common with the major constitutional referendum that took place in Scotland last year is that it is a decision for a long time into the future. To quote the right hon. Member for Gordon (Alex Salmond), who is not here today, it is a decision to be made once in a lifetime, or at least for a generation, not something to be repeated every few years. I hope that all hon. Members will agree with that. The referendum will not return every few years like general elections.",Moral Value
"Conservative Members liken this argument to arguments about local government, but the Scottish referendum was based on a franchise of 16-year-olds and European citizens voting, and it could be scarcely have been on a more profound matter: the very Union of Great Britain and Northern Ireland.",Moral Value
"As we all know, rightly or wrongly, many of the people who would vote to leave the European Union would do so because of the perceived issue of the number of people coming into the country. If we were to vote to stay in specifically as a result of the votes of European citizens, would that not be inflammatory to many millions of people who voted no?",Conflict
I want to take up the point that we have heard from Government Members that making the change through this amendment would be inappropriate. I do not understand why we cannot allow young people to vote in this referendum and later go through the issue with a fine-toothed comb before making a permanent change.,Moral Value
"If I may, I will make progress because I am conscious of the time.

I tend certainly towards using 18 for the EU referendum, because there is a danger that if we start to change the rules for it, there will be a feeling in this country that there is a taint, with people trying to get a certain outcome. I am so pleased that there is an EU referendum because we can at last lance the boil that is Europe and bring this matter to an end. If we start to change the rules beforehand, certain parties who feel sore from the result will try to make out it has been fixed in a certain way. That is why the status quo should remain.",Moral Value
"I thank the hon. Gentleman, but it is a counsel of despair to say that because we cannot trust our own Government, we have to go to the European Union. I was on a march through London opposing austerity last Saturday, and there were tens of thousands of people there who felt strongly about it. Even though we may have Governments we do not like from time to time, we have the chance of pressurising them in the short term and getting rid of them and replacing them with more progressive Governments in the long term.

Pressurising Governments is what I do in politics, as I think Members of all parties do. I want to see the Government elected in this country governing this country, not giving away our powers so that we are governed by a bureaucracy in Brussels or wherever.",Powerlessness
"A Conservative Member asked about the SNP’s position on Europe. I would love to see what deal Scotland could get out of Europe if we had a voice in Europe. At the moment every representation that we make to Europe has to go through the Westminster filter, and I do not blame that filter for changing them to act in the interests of the majority of the citizens of the United Kingdom. We are outnumbered by 10, 11, or 12-1 in population terms, so the representations that the UK Government make to Europe will always be loaded towards what they see to be in the best interest of the major nation.",Powerlessness
"‘(3) In subsection 1(a) “a parliamentary election” includes elections to the Scottish Parliament.”

This amendment would extend the vote to 16 and 17 years olds and EU nationals in Scotland.

Amendment 21, page 2, line 20, at end add—

‘(3) Notwithstanding the provisions of the Representation of the People Act 1983, as amended, or of any other statute, a British citizen resident overseas in a country within the European Union will be eligible—

(a) to register to vote, and

(b) to vote in the referendum,

irrespective of the length of time that the citizen has been resident overseas.”

This amendment is intended to allow British citizens resident in other EU countries to vote in the referendum.

New clause 1—Impartiality of broadcasters—

‘(1) Notwithstanding any enactment or legal instrument, before the start of the referendum period the Secretary of State shall by regulations make provision to ensure the impartiality of broadcasters during the referendum period.

(2) Regulations made under this section must include provision for the appointment by the Secretary of State of a referendum broadcasting adjudicator.

(3) Regulations made under this section must require the referendum broadcasting adjudicator",None
"I rise to speak on the issues of the independence of broadcasting and campaign funding covered by two of the new clauses. It is most important that we should have a fair referendum and I think that the House has made a wise decision this evening to further that aim. I hope that the nation’s leading broadcaster, the BBC, will enter into the spirit of wanting that fair campaign and will study and understand where those who wish to stay in and those who wish to leave are coming from. It needs to learn that in the run-up to the referendum campaign proper as well as in the campaign itself. My hon. Friend the Member for Stone (Sir William Cash) has tabled a suitable new clause to try to ensure that that happens and I hope that the Minister will share our wishes and might have something to say on this point.",Moral Value
