chunk_text,openai_frame_classification
"Last week, the Digital, Culture, Media and Sport Committee released a report, backed unanimously by its members, on the issue of disinformation, particularly in relation to electoral campaigns. Given the release of that report and the questions that surround the leave campaigns, some of which amount to fraud on an industrial scale, before she proceeds any further, why has the Prime Minister not set up a judge-led public inquiry with the power to summon evidence and witnesses, to determine whether she is proceeding on the basis of a fraudulent campaign and a fraudulent result?",Conflict
"We are taking steps to improve animal welfare standards when we leave the EU, not least by taking steps to end the live export of animals to Europe. We are also introducing legislation on everything from puppy farming to banning the use of primates as pets, which means that the UK, as a nation of animal lovers, will lead the world in animal welfare.",Moral Value
"Nice try! It is important that the motor insurance industry knows that the Bill is making progress, so it has not put the £50 on. If we do not do it, that will happen. It is not that people will see their motor insurance go down by £50 per year, but that they will not see it go up by £50 a year. My hon. Friend can go ahead and renew his motor insurance.

I believe that I am correct in saying that, if passed, the Bill will be the first Act of Parliament to remove retained EU law. It will certainly be the first to remove retained EU case law, so it will be a landmark step in taking back control of our own laws. It is just one of the clear advantages of leaving the European Union that we can now alter our laws to ensure that they are interpreted the way that this sovereign Parliament intends.",Powerlessness
"We have to look at the EU’s perspective as well as that of the UK, which is why I think that the Prime Minister was not only right to offer a fair deal in her Florence speech, but right to say that we would not be afraid to walk away with no deal. That gives the EU one chance to get this right, whereas a meaningful vote-plus would give the EU many, many chances to get this right—to give the worst possible deal to get it right. Its incentive would be to put the worst deal on the table initially, knowing that Parliament would reject it and keep going back to the table. That cannot be the right negotiating position.

None of us wants to leave on the basis of no deal. WTO rules would clearly not be in the country’s interests, and it would not be in my own interests outside Parliament either. Nevertheless, I do not want to be locked into an organisation that simply will not let us leave other than on disadvantageous terms.",Conflict
"What would we have done without the contribution from the right hon. Gentleman? He does what he wants, as he always has done, and he should make sure he always does that in the future.

I got a bit sidetracked there with the very interesting intervention from the right hon. Gentleman, but I want to come back to this notion of parliamentary sovereignty, which is something my friends on the Conservative Back Benches hold dear. It is about expressing the will of the people in this House. Parliamentary sovereignty is the be-all and end-all—Conservative Members are even committing this great indulgence of economic, cultural and political self-harm by leaving the European Union so they can have more parliamentary sovereignty. They should start to demonstrate their commitment to it by recognising that this is a minority Parliament. We are here to serve all the people of the country, and we have to have arrangements to make sure we properly reflect that.",Powerlessness
"I will turn, if I may, to address the specific content of the Bill. Businesses in my constituency are supportive of the Bill’s objective to enhance the UK’s world-leading prudential standards and promote financial stability, but they would appreciate clarity from the Government on specific clauses. In particular, with regard to the implementation of Basel III, as some businesses have been working towards the implementation of EU capital requirements regulation 2, further guidance would be welcome on how the UK regime may differ from the EU regime. With regards to the LIBOR wind-down and benchmarking, again I urge the Government to ask the FCA to provide the further detail and clarity that businesses require as soon as possible.",Economic
"Again, I would argue that the EU can put far greater emphasis and might into providing a challenge and looking for solutions by working collectively, not only on managing the refugee crisis, but on addressing the challenges at source in order to mitigate what is going on.",Powerlessness
"Does my hon. Friend agree that when we had the referendum in 1975, it was about a common market? Now we have a European political union. Brussels has seized power. The last Labour Government gave away our rebate and got nothing for it, so the people should have a say.",Powerlessness
"The only way to respect the electorate when the election comes is to offer the public a vote on Brexit, putting control back into the hands of people in a confirmatory referendum, with a real choice between a credible leave option or remain, but I do not believe for one moment that resolving Brexit or “getting it done” will bring our country back together. Until we acknowledge that the result of the EU referendum in 2016 was not just about the EU, we cannot heal our country. In our heart of hearts, we must surely know that that vote was not solely about trading relationships, single markets or courts of justice.",Moral Value
"This is an uncertain deal, an unclear deal and a contradictory deal. I cannot vote for no deal, because that is the greatest risk to jobs in my constituency, but I cannot vote for an inadequate deal either. I want a deal that keeps us in a customs union and closely tied to the single market. If we cannot get a deal that protects jobs in my constituency and preserves living standards, environmental protections, health and safety protections and workers right—or rather if we cannot get a change of Government to secure that deal, since no one can trust this Government any more to secure a deal in the interests of the British people—I will, at that point, be prepared to consider voting for a second referendum, so that the British people, knowing clearly what they are voting for, can choose between clear-cut options. If we have to do that, it should be seen as an enhancement of the democratic process, not a negation of it.",Human Impact
"(a) modifying the application or effect of this section, or

(b) applying this section, with or without modification, in relation to cases set out in the regulations.

(7) In this section—

“free zone procedure” has the same meaning as in Group 22 of Schedule 8 (free zones);

“relevant day” means—

(a) in a case where this section applies by virtue of Condition A being met, the day on which the breach mentioned in that Condition occurred;

(b) in a case where this section applies by virtue of Condition B being met, the day after the end of the period mentioned in that Condition;

“zero-rated free zone supply of goods” means a supply of goods within Item 1(a) of Group 22 to Schedule 8 (free zone procedure goods);

“zero-rated free zone supply of services” means a supply of services within Item 1(b) of that Group (free zone services).”

(8) This Resolution comes into force on 3 November 2021.

And it is declared that it is expedient in the public interest that this Resolution should have statutory effect under the provisions of the Provisional Collection of Taxes Act 1968.",uneindeutig
"The Opposition spokesman, the shadow Secretary of State for Northern Ireland, said that the Bill was a solution looking for a problem—I think that was how he characterised it. As funny as that may be, the protocol is a problem and it requires a solution, and we have a duty—indeed, a responsibility—to try and find that solution between us. The protocol is an example of red tape being used to tie up commerce. I will come to that point in some detail later, but the Government were warned that the protocol was going to be a problem. Indeed, the current Secretary of State for Northern Ireland left the Government on the issue—that is the fact of the matter—because it caused problems for Northern Ireland and the Union that he and I both cherish.",Conflict
"A constituent of mine said only the other day, “We were conned in that referendum. We voted for a Common Market and now we have something completely different, which we never voted for.” Whether or not those who put forward those proposals in 1975 foresaw where we would be today in our relationship with the EU, the fact that my constituent feels conned is a very serious aspersion to cast in a democratic country and we must put that right. We must give people in this country a say. It is not just my constituent who feels like that; it is the British people, who have made it clear that they want this referendum. They want a say. In the European elections in May more than half the electorate voted for parties which are committed to a referendum. The Liberal Democrats, who put themselves forward as the “party of in”, received only 7% of the vote.

The British people want their chance to decide and we as Conservatives are the party that will ensure that they have it. That is the simple and straightforward message of the Bill—no more, no less. Despite Labour blocking a referendum last year, I want to thank the hon. Member for Vauxhall (Kate Hoey) for her words when she said that",Powerlessness
"Yes, it does. The Brexit Secretary said yesterday they would have to be corrected by HMRC. Is the Prime Minister saying that at the end of December 2020 Northern Ireland will not go into the protocol if there is a free trade agreement, and that if we are in the protocol and a free trade agreement is agreed we will automatically come out of it, and that that will be written into law?",uneindeutig
"My hon. Friend puts his finger on a very Irish solution to the problem. I remember the Lisbon treaty. The Irish voted against it, but they were told by their political masters that they had made the wrong decision and had to vote again. This is ultimately a ruse to ignore the will of the British people, as expressed in a referendum on this matter.",Powerlessness
Scotland trades around four times as much with the rest of the United Kingdom as it does with the European Union. Does my right hon. Friend agree that our top priority must be to ensure that the internal UK market is protected as soon as we leave the European Union?,Economic
"From the Opposition, I liked the speech that the hon. Member for Vauxhall (Florence Eshalomi) gave about the living reality of her global diverse community in Vauxhall. I disagree with her on isolationism: I do not think that that is the direction that the UK is taking under this Government.

My hon. Friend the Member for Clacton (Giles Watling) praised his own community. He is quite right that the NHS will never be on the table in future trade deals.

The hon. Member for Angus (Dave Doogan) attacked the Government on fishing. How extraordinary to hear a speech attacking the Government on fishing from the SNP—a party that is committed to rejoining the EU common fisheries policy! It was an absolutely extraordinary speech.",Conflict
"There will be a great deal of information, which it is our intention to have publicly available for everybody to see in the autumn of this year, well ahead of the referendum date. I hope that on that basis my hon. Friend the Member for Stone and others who have signed his amendment will be reassured that the Government are fully committed to our declared intention of ensuring that the referendum is conducted in an way that is not only fair but that is seen to be and is accepted as fair by everybody who takes part on both sides.",Moral Value
"Such clarity was not always evident in the referendum campaign in the run-up to June 2016. In fact, many would still say that there was a lot of obfuscation and opacity, and that the consequences of Brexit were not clear at all. In my view, as much clarity and plain English as possible should be obtainable.",Moral Value
"We are determined to level up, to deliver opportunity and to unleash the potential of every part of the United Kingdom. We will promote the future of free trade in a world of rising protectionism. Tomorrow, we will demonstrate that Britain is back and we are ready to trade.",Economic
"As we look to ensure that we have what we need to protect us for the future—PPE, medicines and other things —it is natural to wish to turn inwards, to protect we have and to keep more for ourselves, and to ensure that we in our island can look after ourselves. In some ways, that is an understandable impulse, but not in the area of trade. Not only is it morally wrong to retreat behind a protectionist barrier wall by which the developing world is excluded—we would pay the consequences for that behaviour in any event—but it is against our own interests. We cannot make everything ourselves and we cannot make everything well. We should concentrate on what we are good at—high-tech industries, for example—and look elsewhere at where others can better help us and we can help them, too.

It is keeping open global trade routes that has enabled us to be fed, to buy PPE and to secure essential medication from all across the globe. Free trade is not just an economic opportunity, but the openness of the system itself provides a vital defence. We must seek to diversify our supply chains, because in that way we can improve our resilience to withstand future challenges and ensure that we reduce our reliance on countries—",Moral Value
"I commend the right hon. Member for Putney (Justine Greening) for submitting the urgent question, and I thank you, Mr Speaker, for granting it.

Last week, the House voted by a sizeable majority to rule out any possibility of our leaving the EU without a deal. If the Government, by prevarication or otherwise, cause us to crash out without a deal, that will surely be the greatest case of contempt of Parliament in the history of not just this but any Parliament. The Government have 11 days left in which to take the action that they must take to prevent that from happening. When no deal was ruled out last Tuesday, there were 17 days left, so the Government have used more than a third of their time doing precisely nothing. The Minister was full of promises about what they intended to do, but could give no answers about what they had done to seek and secure that extension.",Conflict
"We had better fix the problems caused by the Brexit decision and then, if we find ourselves unable to secure our place in the EU by any other means, the hon. Gentleman will be more than welcome to scrutinise whatever plans are brought forward.",Powerlessness
"It is a pleasure to follow the hon. Member for Ynys Mn (Albert Owen), who made a passionate, excellent case for accepting and celebrating identity on many different levels. In a way,

like him, I am proud to come from Gloucestershire, I am proud to be English and I am proud to be European—indeed, I am proud to be a member of a country that is part of the United Nations as well. We can celebrate and identify with people on many different levels.

We have heard many passionate speeches in this debate. Obviously, we heard from the hon. Member for Stone (Mr Cash), who is not in his place anymore, who revealed that he had voted in two French referendums—so perhaps we should call him the hon. Member for Pierre for now on. We also heard a passionate speech from the hon. Member for Croydon South (Richard Ottaway), who made a strong case for Britain remaining at the heart of Europe. If a referendum one day comes, I have no doubt that he, like the Liberal Democrats, will be putting the case strongly for a yes vote, for remaining in the EU and for keeping Britain at the heart of Europe.",Moral Value
"Madam Deputy Speaker,

“by the strength of our common endeavour we achieve more than we achieve alone, so as to create for each of us the means to realise our true potential.”

Those words, written on Labour’s membership card, are why I joined my party. I believe they are as true for nation states as they are for the people I am now privileged to serve. I say that because the central argument made by those who want us to leave the EU is that Britain will achieve more, and have more power and control, if we vote for Brexit. I could not disagree more. In a world that is more connected than ever before, real control—the power to shape our destiny, tackle challenges, and seize opportunities rather than be left to the mercy of events—comes from working with our neighbours and allies to get the best for the British people.",Powerlessness
"The Bill is the catalyst for that future. It is the final step in that long, tortuous five-year process we have all lived through. It marks the start of the new independence that the people of this country so clearly voted for in 2016. As such, it is a Bill that keeps faith with the people. As such, it is a Bill that does honour to this House.",Moral Value
"I thank the Minister for debunking the notion that, as a result of the transition arrangements, somehow the Government have reneged on that pledge, and for confirming that the Government remain firmly committed to the constitutional, political and economic integrity of the UK. Will he ensure that industries such as the Northern Ireland fishing industry are protected after we leave the EU, and that we will take back control of our territorial waters, including our rights for our fishermen?",Economic
"It is a pleasure to see you in the Chair, Sir Roger, and I look forward to serving under your guidance. It is also a pleasure to follow the hon. Member for Bromley and Chislehurst (Sir Robert Neill), who has given the Treasury Bench much to think about on the difference between subjective and objective tests, which I will bear in mind in my remarks.

I rise to speak to the official Oppositions’s amendments in this group. Amendment 1 relates to full transparency on the implications of the Northern Ireland-Ireland protocol. Amendment 4 would restore the clauses from the previous version of the Bill that related to negotiating arrangements for the protection of unaccompanied child refugees. New clause 1 would restore to the Bill the process of parliamentary scrutiny—it has been removed since the previous version of the Bill—over the process and outcome of negotiating the future relationship with the EU after we leave. I am sure that you will tell me if I stray from the topic of debate, Sir Roger.",uneindeutig
"The right hon. Gentleman adumbrates perfectly the miasma of chaos that is eating away at this place, but does he not agree that, given the chaos that is about to hit the people of Scotland—who voted overwhelmingly to stay in the European Union—should they request an order under section 30 of the Scotland Act 1998 to hold a referendum on Scotland’s independence, it would be undemocratic in the extreme for the Government to refuse it?",Powerlessness
"The question people ask me is: why, then, are you supporting Government amendment 66? I am supporting amendment 66 for this reason. If we look at the Order Paper on Monday 14 September and Tuesday 15 September, we see that amendment 4 put forward by my hon. Friend the Member for Bromley and Chislehurst had only 13 signatories. That amendment is for parliamentary sovereignty. Parliament should decide: this Parliament enacted its support of the withdrawal agreement, and if it now wants to come out of it, this Parliament should say so, not defer that to Ministers. However, only 13 Members of Parliament had signed it. I am grateful to my right hon. Friend the Member for Ashford (Damian Green) and my hon. Friend the Member for Bromley and Chislehurst, and I am also grateful to the likes of my hon. Friend the Member for Runnymede and Weybridge (Dr Spencer), who came in in 2019, who signed the amendment.",Moral Value
"There are two issues that I think are absolutely essential, one of which is the single market. I would prefer us to maintain membership, but at the very least we need access to it, for all the reasons that the right hon. and learned Member for Rushcliffe (Mr Clarke) eruditely explained, which I do not need to repeat. The other is EU citizens in my constituency, who still greet me on the doorstep in tears, a year later, because of the Government’s woeful delay in deciding their future. It is heartening that there are press reports that there might be some fast-track measure, but there was nothing about that in the Queen’s Speech.",Human Impact
"This is, in its own small way, an historic Bill. It is the first use of the European Union Act 2011, which sought to strike a balance between Liberal Democrat enthusiasm to maximise the benefits of EU membership and Conservative caution that we take not one step without adequate parliamentary scrutiny and, if necessary, legislation, and without the option of a referendum if power were being transferred from the British level to the European level. No such referendum is necessary on this occasion, as this is merely a Bill to ease the passage of the intergovernmental treaty for other members of the European Union. However, the full panoply of parliamentary scrutiny of legislation has been brought to bear even on this small, technical change.",uneindeutig
"However, I will not leave it at that. Plaid Cymru is a pragmatic, positive party. We are determined to secure the best deal that we can for our country, even in these dark times. The Bill would set us on a deeply concerning path. Ministers might barter away the advantages of our high-quality agricultural industry and aspects of the NHS, perhaps to secure a “genius” trade deal with Mr Trump. Our amendment would ensure that trade deals were at least based on those principles of clarity, fairness and representation.

For clarity, we would require proper impact assessments, geographically focused and published at the beginning and the end of any trade negotiations. They would outline the impact of any potential trade deal on Wales and the other countries of the UK, and they would empower the public and elected politicians by giving them the information that is necessary for the making of democratic, ground-level decisions.",Moral Value
"UK businesses and organisations have already started preparing for the GDPR, which is good. That should stand us in good stead when it comes to an adequacy discussion. It is vital that we enshrine the GDPR in our law permanently in a clean Data Protection Bill so that data can still flow, businesses can still run and communications do not just stop. However, it is of the utmost importance that we commit to these rules for the long term and provide certainty for individuals and businesses. The economic consequences of not being able to move personal data would be very serious, with companies having to double-store data. That would take a long time to implement, and it would have serious economic and environmental costs, and run the risk of our not being able to operate properly across borders. It would, at a stroke, put at risk the UK’s place as a global hub for tech and other data-intensive industries. There is a huge amount at stake.",Economic
"I add my congratulations to you, Mr Deputy Speaker, as you assume your rightful place in this House in chairing these proceedings. It is good to see you in your place. It is also a privilege to follow some of the speeches that have been made here today, especially that of the hon. Member for Stone (Sir William Cash). When he speaks on these issues, I often think that his constituency has been badly and underwhelmingly named. It should be renamed the rock, because he acts like a rock—he is solid on these issues—when he speaks before this House. Once again, he has shown his breadth of knowledge and skill in this particular area. I wholeheartedly concur with his point that the European Scrutiny Committee should be reactivated—and reactivated very quickly—because, as we exit the EU, we will need to scrutinise these matters very closely and ensure that we consider the details that will come up during the exiting process. The Committee is one vehicle that could be used to that advantage, and I wish him well in his quest to have it re-established.",uneindeutig
"Our health service is stumbling towards despair. Primary care struggles to cope when hospital waiting lists, in particular surgical waiting lists, are in great difficulty. I will not go into detail on that.

I want to make an honest point about the attacks on the Irish language and I hope it will be taken as such. I was tempted to make this speech “as Gaeilge”, but I felt that not too many people would understand me so out of courtesy I decided not to. I am talking about attacks on the Irish language, and the immature abuse that is heaped on those who wish to speak Gaelic. It is not a crime to speak Welsh in Wales, and it is not an offence to speak Gaelic in Scotland. I remind the House that 100 years ago the revival of the Irish language in my county, the proud county of Antrim, was led by Unionists, not by nationalists. It would be disastrous to hand the ownership of the Irish language exclusively to Sinn Féin. I will never agree to that, whatever form it might take. The Irish language is the possession of no political party or grouping; it is the right and the property of all, culturally and in all other dimensions.",Human Impact
"In the light of the Minister’s very welcome admission that the Government are to publish economic analysis on the withdrawal agreement, and in the light of his failure to deny on Radio 4 this morning that Britain may well be worse off as a result of leaving the European Union, could he confirm that that analysis will measure whether we will be worse off leaving versus remaining in the European Union?",Economic
"astonishing omission for Government Members to forget the people of Gibraltar in the referendum equation. Indeed, as the Bill’s promoter and Conservative Members consulted so few people before the Bill popped out of Lynton Crosby’s office, I suppose that I should not be at all surprised that the people of Gibraltar were not consulted before the Bill saw the light of day.

Perhaps this is not the only such occasion that Government Members have allowed the people of Gibraltar to slip their minds, but at least, thanks to the contributions of my hon. Friends the Members for Wolverhampton North East (Emma Reynolds), for Ilford South and for Huddersfield and the hon. Member for Cheltenham, this issue was addressed in Committee. Sadly, despite being awakened in Committee to the concern about the omission of the Gibraltarians from the Bill’s franchise, the Minister for Europe and, indeed, the Bill’s promoter have been silent on this problem in the intervening weeks. So it is only now, thankfully, at this the eleventh hour, that it seems that Government Members have seen the light and are prepared to address this anomaly.",Human Impact
"Imagine the outrage there would be in Europe if the European Union decided to try to detach Catalonia from Spain. But what is the EU doing today? It is saying that it will have to detach Northern Ireland from the single market and customs union of the United Kingdom. Will my right hon. Friend say that the Conservative party is nothing if it is not the Unionist party and that there will be no amendment, no truck, no surrender and no appeasement regarding keeping Northern Ireland in the single market of the United Kingdom?",Conflict
"I join the Chancellor of the Duchy of Lancaster in commending the determined work, over so very many years, of the Chair of the European Scrutiny Committee, and I thank him, and members of the Committee, for their report. That is both because of the important issues that the report raises, and because it provides the House with a rare opportunity to debate with Ministers about the negotiations as they reach a crucial stage. There might be issues in the report that Labour would set out differently, and we have shaped those in our amendment. At this stage, however, because of the extraordinary circumstances in which we are currently conducting business, although I will speak to the issues in the amendment, we do not intend to press it to a vote.

Let me begin with the issue on which we agree wholeheartedly with the Committee, and indeed with the motion, which is the central point of accountability. We have consistently pressed for accountability and transparency throughout these negotiations, as we were promised at the outset. The Prime Minister told us on 20 December that

“Parliament will be kept fully informed of the progress of these negotiations.”—[Official Report, 20 December 2019; Vol. 669, c. 150.]",uneindeutig
"Does the hon. Gentleman agree that the people in my constituency of Swansea West and elsewhere who voted in good faith for Brexit—for more money, more control and more jobs—have seen a sort of Brexit dividend, which is basically rising food prices, because of food barriers and a falling currency, and national insurance going up and universal credit going down? Does he think that the poorest should get an injection of money to make up for that, rather than being hammered?",Economic
"Earlier this week, the Government published their Environment Bill. Some of its content was welcome, but there were few details on the Government’s apparently ambitious air quality target. If, as the Government constantly claim, leaving the European Union will be an opportunity to legislate better, why have they have not proudly announced that measures in one of their flagship Bills will exceed existing EU standards? Why do they fail to take advantage of the opportunity to reach the higher standards set by the WHO? Why does the proposed new watchdog move backwards on measures designed to enforce these targets, such as fines? The Government must not shift the responsibility to local authorities while continuing to cut funding to avoid the difficult decisions.

The Government are not moving far or fast enough to improve our air quality and protect our children. I have marched, I have visited, and I have spoken at a number of climate change and air quality events across my constituency. We are passionate about this issue. In many cases it is children, the next generation, who are leading the way for cleaner air. Let us make it easier for them.",Human Impact
"Despite being born in this country, I found myself living the first two decades of my life in Italy. When I returned to this country in my late teens, I questioned where I belonged, where I identified myself with. The fact that the UK was a Union of four nations that embraced all its identities, ideals and values, which were diverse even within each nation, gave me a sense of belonging among our differences. I love Scotland. The Scottish people are some of the friendliest, most unassuming and loyal people I have ever met, and the theatre too often played out in this Chamber is not representative of people from Dudley or Dunblane.",Human Impact
